name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seoul,2023-01-01,38.6,26,32.7,33.6,19.2,27.3,17.2,54.7,0,0,0,,0,0.8,17.2,9.8,279,1030.5,29.5,8.5,120,10.3,5,10,2023-01-01T07:46:52,2023-01-01T17:23:53,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47099099999,47108099999"
seoul,2023-01-02,30.7,19,24.3,24.6,12.1,17.9,5.4,44.4,0,0,0,,0,0.7,16.6,7.8,281,1032.3,2.1,12,124,10.9,5,10,2023-01-02T07:47:02,2023-01-02T17:24:41,0.31,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47108099999"
seoul,2023-01-03,32.1,15.8,23.3,26.7,10.2,19.2,5.9,48.6,0,0,0,,0,0.8,10.3,8.1,280.6,1030.8,0.4,11.9,125.2,10.9,5,10,2023-01-03T07:47:09,2023-01-03T17:25:30,0.35,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47099099999,47108099999"
seoul,2023-01-04,37.5,21.5,28.8,33.1,15.6,25.4,12.1,50,0,0,0,,0,0.3,10.5,8.4,321.5,1030.5,21.3,11.8,120.3,10.3,5,10,2023-01-04T07:47:15,2023-01-04T17:26:20,0.38,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47108099999"
seoul,2023-01-05,37.6,22.4,29,33.9,16.3,25.7,15.6,58,0,0,0,,0,0,6,6.5,329.2,1030.8,36.4,11.4,117.5,10,5,10,2023-01-05T07:47:18,2023-01-05T17:27:11,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47108099999"
seoul,2023-01-06,41.2,24.2,32.6,38.8,18.6,28.6,22.9,68.1,0.001,100,4.17,snow,0.7,0.1,9.2,8.4,58.3,1023.1,59.9,6,105.6,9,5,10,2023-01-06T07:47:20,2023-01-06T17:28:04,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47108099999"
seoul,2023-01-07,38.6,30.6,35.2,35,27.4,31.4,30,81.8,0.003,100,8.33,"rain,snow",0,0.3,19.5,8.2,279.7,1018.6,60.6,2,83.7,7.1,5,10,2023-01-07T07:47:19,2023-01-07T17:28:58,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47108099999"
seoul,2023-01-08,42.8,25.5,33.7,42.8,20,31.2,24.2,69.2,0,0,0,,0,0,4,5.9,39,1024.6,32.3,4.9,120,10.3,5,10,2023-01-08T07:47:16,2023-01-08T17:29:53,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47108099999"
seoul,2023-01-09,44,30.4,38.3,39.2,26.6,34.9,25.4,60.1,0.008,100,4.17,rain,0,0,13.4,9.7,302.3,1024.2,38.2,7.9,119.8,10.4,5,10,2023-01-09T07:47:12,2023-01-09T17:30:49,0.55,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47108099999"
seoul,2023-01-10,47.4,24.9,34.7,45.8,20.4,32.6,21.2,58.8,0,0,0,,0,0,3.6,5,319.3,1028.6,18.9,10.9,127.8,11,5,10,2023-01-10T07:47:05,2023-01-10T17:31:46,0.58,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47116599999,47122099999,47108099999"
seoul,2023-01-11,47.4,28.8,36.8,46.1,24.1,35.1,24.1,62.2,0,0,0,,0,0,3.6,5.4,293.9,1026.1,18.1,8,124.9,10.8,5,10,2023-01-11T07:46:56,2023-01-11T17:32:44,0.62,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47099099999,47108099999"
seoul,2023-01-12,54.7,30.9,41.5,54.7,25.9,38.7,22.1,48.6,0,0,0,,0,0,4.9,6.2,57.1,1022.5,16.7,10,124.1,10.6,5,10,2023-01-12T07:46:45,2023-01-12T17:33:42,0.65,Clear,Clear conditions throughout the day.,clear-day,"47111099999,47098099999,47112099999,47119099999,47122099999,47116599999,47108099999"
